Outlets,website,monthlyOrganicClicks,monthlyPaidClicks,totalClicks
SHEfinds,https://www.shefinds.com/,251500,0,251500
Vegamour Blog,https://vegamour.com/,59890,20750,80640
Radio am&fm,https://streema.com/,284800,3142,287942
Breadcrumbs,https://www.smashingmagazine.com/2009/03/breadcrumbs-in-web-design-examples-and-best-practices/,591200,0,591200
Prevention,https://www.prevention.com/,1863000,115000,1978000
Sip Bite Go,https://sipbitego.com/,117300,0,117300
Boove UK,https://boove.co.uk/,866,0,866
Levi Keswick,https://levikeswick.com/,2407,0,2407
Business Post (Ireland),https://www.businesspost.ie/,3096,0,3096
Livingetc,https://www.livingetc.com/,195900,0,195900
AskMen,https://www.askmen.com/,384200,0,384200
New York Post,https://nypost.com/,9113000,2,9113002
aginginplace.org,https://aginginplace.org/,136600,0,136600
Parade,https://parade.com/,7378000,0,7378000
Healthline,https://www.healthline.com/,42810000,92410,42902410
CEO Blog Nation,https://ceoblognation.com/,2355,0,2355
MetLife,https://www.metlife.com/,391100,29930,421030
CMSWire,https://www.cmswire.com/,94700,0,94700
Coveteur,https://coveteur.com/,162300,0,162300
Famadillo,https://famadillo.com/,2955,0,2955
Bills.com,https://www.bills.com/,48460,0,48460
The Zoe Report,https://www.thezoereport.com/,526400,0,526400
Home Cook World,https://homecookworld.com/,48040,0,48040
Next City,https://nextcity.org/,43870,3822,47692
Psych Central,https://psychcentral.com/,1655000,60,1655060
NurseJournal,https://nursejournal.org/,181900,8,181908
Cogneesol,https://www.cogneesol.com/,2050,0,2050
Magazine,https://time.com/,10050000,13110,10063110
In The Know by Yahoo,https://www.intheknow.com/,593900,0,593900
Lifewire,https://www.lifewire.org/,1806,0,1806
ClothedUp,https://clothedup.com/,140900,0,140900
AARP,https://www.aarp.org/,3803000,339100,4142100
Verywell Mind,https://www.verywellmind.com/,7270000,12,7270012
CNN Underscored,https://www.cnn.com/cnn-underscored,25840000,3300,25843300
Bankrate,https://www.bankrate.com/,8635000,463600,9098600
The E-Comm Boardroom,https://www.ecommboardroom.com/,1067,0,1067
Benzinga,https://www.benzinga.com/,2536000,13919,2549919
NurseJournal.org,https://nursejournal.org/,181900,8,181908
Woman's Day,https://www.womansday.com/,1994000,4668,1998668
PRNEWS.IO,https://prnews.io/,16339,84,16423
Successful Black Parenting,https://successfulblackparenting.com/,1085,0,1085
VegNews,https://vegnews.com/,401400,0,401400
Times of San Diego,https://timesofsandiego.com/,317600,0,317600
Club Meh,https://www.club-meh.com/,2,0,2
Green Global Travel,https://greenglobaltravel.com/,94340,0,94340
The Nurse's Purse,https://www.pinterest.com/pin/12-accessories-to-help-nurses-get-organized--252201647859729622/,207000000,130500,207130500
SolutionSuggest.com,https://solutionsuggest.com/,22170,0,22170
Supermarket News,https://www.supermarketnews.com/,377800,0,377800
Mortgage Research Center,https://www.mortgageresearch.com/,875,0,875
The Story Exchange,https://thestoryexchange.org/,6758,708,7466
BestColleges,https://www.bestcolleges.com/,1613999,2942,1616941
RetailMeNot,https://www.retailmenot.com/,8724000,1168000,9892000
Medical News Today,https://www.medicalnewstoday.com/,19480000,5367,19485367
DoubleBlind,https://doubleblindmag.com/,58240,56,58296
Wired,https://www.wired.com/,9514000,5397,9519397
Women Fitness,https://womensfitness.co.uk/,3060,0,3060
Yahoo Lifestyle,https://www.yahoo.com/lifestyle/,62220000,10340000,72560000
SI Showcase,https://www.si.com/showcase/author/sponsorship-disclaimer,7286000,213,7286213
Millie,https://www.gomillie.com/,6014,0,6014
VP Medium.com,https://en.wikipedia.org/wiki/Medium_(website),847100000,8,847100008
Southern Living,https://www.southernliving.com/,2862000,0,2862000
HowStuffWorks,https://www.howstuffworks.com/,5816000,3456000,9272000
MindBodyGreen,https://www.mindbodygreen.com/,2768000,2439,2770439
Celebrate Woman Today,https://www.internationalwomensday.com/,35710,0,35710
Business Traveller,https://www.businesstraveller.com/,76710,0,76710
Managing Editor Magazine,https://managingeditor.com/,602,0,602
Wealth Management,https://www.wealthmanagement.com/,120100,0,120100
House of Debt,https://houseofdebt.org/,92080,0,92080
Disruptor News,https://www.cnbc.com/cnbc-disruptors/,28640000,997,28640997
Formulate.co,https://www.formulate.co/,20090,235,20325
InStyle,https://www.instyle.com/,1860999,0,1860999
NativePath,https://www.nativepath.com/,8078,4115,12193
babygearlab.com,https://www.babygearlab.com/,126500,0,126500
hubspot,https://www.hubspot.com/products/cms,7398000,22940,7420940
Vox,https://www.vox.com/,6895000,7,6895007
HelloBark!,https://hellobark.com/,74750,0,74750
Smartsheet,https://www.smartsheet.com/,593200,91830,685030
Shape,https://www.shape.com/,1089000,0,1089000
DailyOM,https://www.dailyom.com/,22280,6622,28902
Gladskin,https://gladskin.com/,3287,1277,4564
Circle Magazine and Thought Catalog,https://thoughtcatalog.com/,941200,0,941200
Livestrong.com,https://www.livestrong.com/,2531000,0,2531000
DocPro.com,https://docpro.com/,9449,0,9449
The Huntington News,https://huntnewsnu.com/,37970,0,37970
Spiralytics,https://www.spiralytics.com/,7190,1,7191
BizTech,https://www.ubcbiztech.com/,3,0,3
The Spruce,https://www.thespruce.com/,9181000,49530,9230530
McKesson Medical-Surgical online,https://www.mckesson.com/,407900,2378,410278
Expert Marketer Magazine,https://www.inc.com/murray-newlands/30-expert-marketers-you-should-follow-on-linkedin-and-twitter.html,2023000,1201,2024201
Yahoo! Finance,https://finance.yahoo.com/,62220000,10340000,72560000
SHRM Online,https://www.shrm.org/,1461000,3506,1464506
BanklessTimes.com,https://www.banklesstimes.com/,25290,0,25290
The US Sun,https://www.the-sun.com/,6768000,0,6768000
Kickoff,https://www.trainwithkickoff.com/,4685,4074,8759
Gift Bee,https://yourgiftbee.com/,9,0,9
Bloch,https://us.blochworld.com/,39300,23730,63030
TravelAge West,https://www.travelagewest.com/,177100,0,177100
NerdWallet,https://www.nerdwallet.com/,11300000,920400,12220400
The Globe and Mail,https://www.theglobeandmail.com/,784200,4343,788543
Growers Talk,https://www.growertalks.com/,9109,0,9109
Food and wine,https://www.foodandwine.com/,2869000,0,2869000
CyberNews,https://cybernews.com/,769000,129500,898500
Them Magazine,https://www.them.us/,376900,0,376900
KnockLA,https://knock-la.com/,14900,0,14900
The food institute,https://foodinstitute.com/,13619,0,13619
The Atlantic,https://www.theatlantic.com/,7599000,9132,7608132
Capterra,https://www.capterra.com/,3029000,172600,3201600
The Washington Post,https://www.washingtonpost.com/,21020000,64500,21084500
Keeper Tax,https://www.keepertax.com/,120200,2,120202
Lattice,https://lattice.com/,47910,7221,55131
Family Handyman,https://www.familyhandyman.com/,3286000,1449,3287449
Popular Mechanics,https://www.popularmechanics.com/,2232000,437200,2669200
The Vitamin Shoppe,https://www.vitaminshoppe.com/,697100,145600,842700
Company website,https://www.wix.com/,1436000,693400,2129400
The National,https://americanmary.com/,16490,0,16490
Organic Aromas Blog,https://organicaromas.com/blogs/aromatherapy-and-essential-oils/,9937,7,9944
Happify - The Upside,https://www.happify.com/public/the-upside/,51540,614,52154
Home Business Magazine Online,https://homebusinessmag.com/,8663,0,8663
Life With Kathy,https://lifewithkathy.com/,2211,0,2211
Chicago Tribune Primetime,https://www.chicagotribune.com/sports/bears/ct-cb-chicago-bears-2022-schedule-predictions-20220512-uh5tkm3fzjcx5d6ruaguyfjzrq-story.html,3267000,22050,3289050
BioSpace,https://www.biospace.com/,308200,0,308200
Self,https://www.self.com/,2601000,0,2601000
Equal Opportunity,https://www.eeoc.gov/,699400,0,699400
SC Magazine - Online,https://www.scmagazine.com/,85240,0,85240
Bottom Line Health,https://bottomlineinc.com/,15340,0,15340
Connection Newspapers,http://www.connectionnewspapers.com/,23030,0,23030
Money,https://money.com/,1522000,123200,1645200
Consumer Boomer,https://consumerboomer.com/,7598,0,7598
https://www.onlineu.com/,https://www.onlineu.com/,79360,5456,84816
SmarterTravel.com,https://www.smartertravel.com/,172300,0,172300
Community Health Magazine,https://www.communityhealthmagazine.com/,1132,0,1132
Website Magazine,https://www.websitemagazine.com/,4775,90,4865
Onlineu.com,https://www.onlineu.com/,79360,5456,84816
Wine Country This Month - NorCal Edition,https://www.winecountrythisweek.com/magazines,1581,0,1581
Best accent chairs for large living room,https://www.cnn.com/cnn-underscored/home/best-accent-chairs,25840000,3300,25843300
moveBuddha,https://www.movebuddha.com/,121800,7652,129452
smartsheet,https://www.smartsheet.com/,593200,91830,685030
Food & Wine,https://www.foodandwine.com/,2869000,0,2869000
About Time Magazine,https://time.com/,10050000,13110,10063110
ClearwayLaw,https://clearwaylaw.com/,709,0,709
BarandRestaurant.com,https://www.barandrestaurant.com/,23130,0,23130
M/I Homes,https://www.mihomes.com/,57130,2478,59608
people.com,https://people.com/,13390000,259,13390259
House Beautiful,https://www.housebeautiful.com/,2021000,147100,2168100
Food Network,https://www.foodnetwork.com/,10920000,3592,10923592
Maven,https://maven.apache.org/,1217000,0,1217000
Software Advice,https://www.softwareadvice.com/,1978000,37600,2015600
Mansion Global,https://www.mansionglobal.com/,250199,0,250199
HelloGiggles,https://hellogiggles.com/,493900,0,493900
Morning Brew,https://www.morningbrew.com/,87460,880,88340
NTD Television,https://mb.ntd.com/,21620,0,21620
US News Real Estate,https://realestate.usnews.com/,33720000,17550,33737550
Sparkrental,https://sparkrental.com/,37510,0,37510
https://medium.com/@lisarennau31,,,,
The Hospitalist,https://www.the-hospitalist.org/,26840,0,26840
Celebrity Parents Magazine,https://celebrityparentsmag.com/,2980,0,2980
Security Boulevard,https://securityboulevard.com/,95210,0,95210
HomeSnacks.com,https://www.homesnacks.com/,79860,0,79860
Big News Network,https://www.cnn.com/,25840000,3300,25843300
the NEAT blog,https://www.neat.com/blog/,25230,32610,57840
Woodworking Clarity,https://woodworkingclarity.com/,107800,0,107800
ComputerScience.org,https://www.computerscience.org/,142400,0,142400
Patient Power,https://www.patientpower.info/,10710,1210,11920
Inc.,https://www.inc.com/,2023000,1201,2024201
Cocosign,https://cocosign.com/,28320,0,28320
Newsletter,https://substack.com/,1078000,550,1078550
STX Next,https://www.stxnext.com/blog,13390,59,13449
Studio/B at Boston Globe Media,https://www.bostonglobemedia.com/brands/studiob/,5079,0,5079
Next Avenue,https://www.nextavenue.org/,71630,0,71630
Men's Journal Online,https://www.mensjournal.com/,1646000,173,1646173
BeenVerified,https://www.beenverified.com/,200400,1076000,1276400
AllWork.Space,https://allwork.space/,10280,0,10280
BizBash,https://www.bizbash.com/,176700,47,176747
Tearsheet,https://tearsheet.co/,20040,0,20040
ClinicSpots,https://www.clinicspots.com/,9613,1,9614
AskMyAdvisor,http://www.askmyadvisor.net/,14,0,14
Animalz,https://www.animalz.co/,5007,0,5007
Real Homes - realhomes.com,https://www.realhomes.com/us,360200,0,360200
Tapinto Newark,https://www.tapinto.net/towns/newark,705200,0,705200
CommercialCafe,https://www.commercialcafe.com/,595200,2108,597308
The Hartford Extra Mile,https://extramile.thehartford.com/,587900,358300,946200
First for Women,https://www.firstforwomen.com/,75790,85,75875
Weedmaps News,https://weedmaps.com/,1290000,0,1290000
Do you own or work for a business?,https://www.usa.gov/start-business,4987000,0,4987000
TV Tokyo America,https://en.wikipedia.org/wiki/TV_Tokyo,847100000,8,847100008
InsideHook,https://www.insidehook.com/,511200,0,511200
Travel Mamas,https://travelmamas.com/,40190,0,40190
Brick and Mortar Reborn,https://brickandmortarreborn.com/blog/podcast/podcast-75-bissett-financial-fitness-founder-tracey-bissett-how-brick-and-mortar-retailers-can-become-financially-fit/,22,0,22
Cheapism,https://www.cheapism.com/,396100,0,396100
Muscle and Health magazine,https://muscleandhealth.com/,3755,0,3755
HealthyWomen.org,https://www.healthywomen.org/,108800,10960,119760
FARM STAR LIVING,https://www.farmstarliving.com/,3889,0,3889
New Jersey Family,https://www.njfamily.com/,62290,0,62290
Funny Life Coach Blog,https://www.jenniferldougherty.com/the-funny-life-coach-blog,131,0,131
InSytle,https://www.instyle.com/,1860999,0,1860999
The Lemonade Blog,https://www.lemonade.com/blog/,167100,266300,433400
Simon & Schuster,https://www.simonandschuster.com/,2251000,0,2251000
Inside Hook,https://www.insidehook.com/,511200,0,511200
Healthy Women,https://www.healthywomen.org/,108800,10960,119760
Essence Magazine,https://www.essence.com/,1039000,1419,1040419
Small biz trends,https://smallbiztrends.com/,553400,0,553400
TIME magazine,https://time.com/,10050000,13110,10063110
Cyber Security Hub - CSHub.com,https://www.cshub.com/,10500,0,10500
Sports Illustrated,https://www.si.com/,7286000,213,7286213
Thrillist,https://www.thrillist.com/,5119000,0,5119000
BBC,https://www.bbc.com/,16769999,977,16770976
openlearning,https://www.openlearning.com/,1618,1,1619
Living Cozy,https://www.livingcozy.com/,125200,0,125200
WhatASleep (Australia),https://whatasleep.com.au/,11150,0,11150
Ecommerce site owners,https://www.referralcandy.com/blog/6-habits-ecommerce-owners,43330,117,43447
ProjectorScreen.com,https://www.projectorscreen.com/,40360,4601,44961
Pollthepeople.app,https://pollthepeople.app/,1232,105,1337
Vox Media,https://corp.voxmedia.com/,48480,0,48480
Business.com,https://www.business.com/,337000,15910,352910
MIC,https://www.mic.com/,755300,0,755300
Rocket Homes,https://www.rockethomes.com/,933000,2371,935371
ShortDot,https://shortdot.bond/,2463,0,2463
Medium - Spirituality 101,https://johnholland.com/,956,0,956
Very Well Fit,https://www.verywellfit.com/,3549000,3725,3552725
Composites Weekly,https://compositesweekly.com/,625,0,625
World News Era,https://worldnewsera.com/,39370,0,39370
reuters,https://reuters.com/,13580000,1217,13581217
Finding Balances,https://www.findingbalance.com/,891,0,891
HCPro,http://hcmarketplace.com/,8116,0,8116
MSDynamicsWorld.com,https://msdynamicsworld.com/,7639,0,7639
Winetraveler,https://www.winetraveler.com/,45850,0,45850
Narrato,https://narrato.io/,4189,53,4242
Today Media,https://www.socialmediatoday.com/,475000,0,475000
Association of National Advertisers,https://www.ana.net/,38870,49,38919
Los Angeles Times,https://www.latimes.com/,11340000,12609,11352609
How SMBs can keep their workforce engaged despite the Quiet Quitting trend,https://egnow.com/4-ways-companies-can-reduce-quiet-quitting/,2501,4,2505
Paceline,https://paceline.fit/,978,0,978
SheKnows Media,https://www.shemedia.com/,1538,0,1538
Internet Retailer,https://www.digitalcommerce360.com/internet-retailer/,195200,39,195239
INVONEWS,https://www.facebook.com/invonewz/,340500000,204200,340704200
Where Traveler,https://www.wheretraveler.com/,221600,0,221600
Poll the People,https://pollthepeople.app/,1232,105,1337
New Jersey Realtor Magazine,https://www.njrealtor.com/membership/new-jersey-realtor-magazine/,17630,0,17630
Mic,https://www.mic.com/,755300,0,755300
Authority Hacker,https://www.authorityhacker.com/,56470,0,56470
Canva,https://www.canva.com/,6158000,266800,6424800
social tables,https://www.socialtables.com/,104200,572,104772
Garage Gym Reviews,https://www.garagegymreviews.com/,342500,1630,344130
the Wyoming Truth,https://wyomingtruth.org/,508,98,606
Salesmate,https://www.salesmate.io/,18440,588,19028
AI Business,https://aibusiness.com/,5809,5,5814
VIA Magazine,https://mwg.aaa.com/via,3252000,548500,3800500
Nike.com,https://www.nike.com/,5911999,2929000,8840999
USA Today - Travel Online,https://www.usatoday.com/,21890000,2100,21892100
BuzzFeed News,https://www.buzzfeednews.com/,2632000,0,2632000
www.eop.com,https://www.eop.com/,2067,0,2067
Great Pet Care,https://www.greatpetcare.com/,392900,4234,397134
Your Number Story,https://numberstory.org/,581,0,581
www.scarysymptoms.com,https://scarysymptoms.com/,47040,0,47040
Editorialist,https://editorialist.com/,312800,0,312800
MyItaly,https://www.myitalyselection.se/,9,0,9
Today,https://www.today.com/,6989000,23,6989023
Cradlewise.com,https://cradlewise.com/,2738,72,2810
Nethunt,https://nethunt.com/,29809,1,29810
The Paper Gown,https://www.zocdoc.com/blog/,3876000,64340,3940340
Jotform,https://www.jotform.com/,877300,45780,923080
Muscle and Health global retail and online winter issues,https://muscleandhealth.com/,3755,0,3755
One Drop Blog,https://onedrop.today/,10060,23680,33740
The Right Hairstyles,https://therighthairstyles.com/,713900,0,713900
GoDaddy,https://www.godaddy.com/,1391000,609300,2000300
BestLIfe,https://bestlifeonline.com/,1815000,0,1815000
Animal Wellness Magazine,https://animalwellnessmagazine.com/,42560,0,42560
Breathe,https://ceo.lacounty.gov/pai/breathe/,1813000,1,1813001
msn,https://www.msn.com/en-us,3358999,10720,3369719
bestcolleges.com,https://www.bestcolleges.com/,1613999,2942,1616941
Health eCareers editorial,https://www.healthecareers.com/,60990,7174,68164
el Restaurante Magazine,https://elrestaurante.com/,3651,0,3651
Sleep Number,https://www.sleepnumber.com/,185300,596600,781900
SuperMoney,https://www.supermoney.com/,406200,13800,420000
LIVESTRONG.com,https://www.livestrong.com/,2531000,0,2531000
The Assembly,https://nyassembly.gov/,118100,0,118100
REALTOR Magazine,https://magazine.realtor/,18680,0,18680
sticky.io blog,https://www.sticky.io/blog-tags/tips-strategies,1378,246,1624
The hercampus,https://www.hercampus.com/,238600,0,238600
Create & Cultivate,https://www.createcultivate.com/,9122,0,9122
SingleCare The Checkup,https://www.singlecare.com/blog/tag/singlecare/,2014000,42370,2056370
Baltimore Child Magazine,https://www.baltimoreschild.com/,8333,0,8333
Simplistically Living,https://www.simplisticallyliving.com/,40080,0,40080
Breeze,https://www.flybreeze.com/,38840,849,39689
1889 The Washington Magazine,https://1889mag.com/,2400,0,2400
SaaS Industry,https://saasindustry.com/,4572,0,4572
LA Television News,https://ktla.com/,1190000,2393,1192393
Associated Press (AP),https://apnews.com/,7352000,0,7352000
Inman News,https://www.inman.com/,179700,238,179938
TWICE - This Week in Consumer Electronics,https://en.wikipedia.org/wiki/Twice_(magazine),847100000,8,847100008
Twill Care,https://www.twill.net/,11530,1229,12759
Consumer Reports,https://www.consumerreports.org/,6546000,226800,6772800
NCOA.org,https://www.ncoa.org/,246800,7558,254358
GetProspect Blog,https://getprospect.com/blog,57120,0,57120
CRM Magazine,https://www.destinationcrm.com/,15480,0,15480
Twill.Care,https://www.twill.health/twill-care,1212,705,1917
ResumeBuiler,https://www.resumebuilder.com/,205900,0,205900
Tips about business marketing in 2022,https://blog.hubspot.com/marketing/small-business-marketing-guide,7398000,22940,7420940
Can Tech International,https://www.cantechonline.com/,1476,0,1476
My Home Office Hacks,https://www.hgtv.com/lifestyle/clean-and-organize/10-steps-to-an-organized-home-office,3677000,20770,3697770
https://www.dooly.ai/blog/,https://www.dooly.ai/,2940,492,3432
Hootsuite Blog,https://blog.hootsuite.com/,2314000,29330,2343330
NTD News Today,https://mb.ntd.com/,21620,0,21620
Behind the Impact Podcast,https://www.hashtagimpact.com/podcasts-full-story-behind-impact-podcast-with-regina-larko/,355,0,355
The Sociable,https://sociable.co/,10460,0,10460
The Budget Savvy Bride,https://thebudgetsavvybride.com/,97460,0,97460
Analysis of b2c marketing in 2022,https://blog.hubspot.com/marketing/b2c-marketing-trends,7398000,22940,7420940
ELLE,https://www.elle.com/,3106999,19840,3126839
City A.M.,https://www.cityam.com/,53400,0,53400
Outsource Accelerator,https://www.outsourceaccelerator.com/,20060,873,20933
Leafly,https://www.leafly.com/,2297000,0,2297000
Clearway,https://www.clearwayenergygroup.com/,2243,0,2243
HelloGiggles.com,https://hellogiggles.com/,493900,0,493900
toe beans,https://www.toe-beans.com/,9023,0,9023
diaTribe,https://diatribe.org/,108300,527,108827
Expert share view on ecommerce trends,https://www.bigcommerce.com/articles/ecommerce/ecommerce-trends/,823800,126500,950300
Petloverguy.com,https://petloverguy.com/,32090,0,32090
Kiplinger's Retirement Report,https://www.kiplinger.com/,1870000,2242,1872242
Local Profile,https://www.google.com/business/,485000000,1981000,486981000
Muscle and Health Winter retail and online issues,https://muscleandhealth.com/,3755,0,3755
Mendon-Honeoye Fall-Lima Sentinel,https://mhflsentinel.com/,1864,0,1864
OnlineU,https://www.irs.gov/businesses/small-businesses-self-employed/apply-for-an-employer-identification-number-ein-online,15880000,2249,15882249
Optum Perks,https://perks.optum.com/,501600,67820,569420
How to use Tiktok marketing in 2022,https://www.shopify.com/uk/blog/tiktok-marketing,4438000,863500,5301500
Womens Health,https://www.womenshealthmag.com/,4612000,132600,4744600
Northeast Equestrian Life Magazine,https://www.facebook.com/NEEquestrianLife/,340500000,204200,340704200
MomCave TV,https://www.momcavetv.com/,1288,0,1288
Reviewed,https://www.reviewed.com/,1813000,79660,1892660
Them.us,https://www.them.us/,376900,0,376900
Auto Remarketing,https://www.autoremarketing.com/,71450,0,71450
Digital: Disrupted Podcast,https://www.asg.com/en/Resources/Podcasts.aspx,6022,1,6023
ChaChingQueen (and AP),https://www.pinterest.com/pin/186688347040862873/,207000000,130500,207130500
MinorityNurse.com/DailyNurse.com/Springer Publishing,https://www.springerpub.com/advertising,97010,1323,98333
Western Food Processor Magazine,http://www.westernfoodprocessor.ca/,7,0,7
Spectrum Business insights,https://www.spectrum.com/business/insights/,2569000,1418000,3987000
Spark Paws Blog,https://www.sparkpaws.com/,9122,1772,10894
Crain's New York Business,https://www.crainsnewyork.com/,116200,0,116200
SHRM Blog,https://blog.shrm.org/,1461000,3506,1464506
Chegg's Life,https://www.chegg.com/,7221000,909900,8130900
SD Times,https://sdtimes.com/,17040,0,17040
Anand Bhatt's Ready for the Red Carpet Blog,https://anandbhatt.skyrock.com/,23450,0,23450
Twill / Happify Health,https://www.twill.health/,1212,705,1917
PBS,https://www.pbs.org/,9191000,6752,9197752
Brides.com,https://www.brides.com/,2824000,76,2824076
The Food Institute,https://foodinstitute.com/,13619,0,13619
Glyterrati,https://www.oreilly.com/pub/au/2160,1583000,351300,1934300
Data Driven U,https://www.datadrivenu.com/,28620,0,28620
Inverse,https://www.inverse.com/,4048000,0,4048000
Chegg's Life Section,https://www.chegg.com/,7221000,909900,8130900
Souvenirs,https://www.citysouvenirs.com/,7876,0,7876
Safeandvaultstore.com,https://www.safeandvaultstore.com/,41450,8494,49944
GoodBuy Gear,https://goodbuygear.com/,46520,867,47387
website onlineu.com,https://www.onlineu.com/,79360,5456,84816
ALHI,https://www.alhi.com/,11220,0,11220
CEO Update,https://ceoupdate.com/,1102,0,1102
alive,https://www.alivecu.coop/,1606,0,1606
Unstack,https://www.unstack.com/,4863,4,4867
Istinomer,https://www.facebook.com/journalismproject/programs/third-party-fact-checking/innovation-initiative-istinomer-serbia,340500000,204200,340704200
Wirecutter,https://www.nytimes.com/wirecutter/,52780000,296100,53076100
WEAVE,https://www.getweave.com/,28760,2311,31071
Firewall Times,https://www.nytimes.com/2017/03/31/insider/the-new-york-times-vs-the-great-firewall-of-china.html,52780000,296100,53076100
